Protein	Similarity_Drug_vs_Control	pValue	FDR	Fold-change 	Fold-change 
K08H10.1c	0.8982062628408015	0.136857915250435	0.9995692703162754	0.024728264542464067	false
C34G6.4	0.750959162563858	N/A	N/A	0.0371097136605595	false
K08H10.1b	0.9166972835745435	0.7036416479006677	0.9995692703162754	0.008338607086367017	false
C14A6.1	N/A	N/A	N/A	N/A	false
K08H10.1a	0.9182516657900234	0.8203912070677427	0.9995692703162754	0.013860524611343175	false
C34G6.2	0.8572271750113992	0.33103281278006874	0.9995692703162754	0.013025358977652382	false
C34G6.1	N/A	N/A	N/A	N/A	false
B0261.2b	N/A	N/A	N/A	N/A	false
R05A10.1b	0.875	N/A	N/A	0.14285714285714285	false
Y11D7A.10a	0.7252711692102563	N/A	N/A	0.13475875376596488	false
R05A10.1a	0.875	N/A	N/A	0.14285714285714285	false
C12D12.2b	N/A	N/A	N/A	N/A	false
W04G3.8	0.8444694122251689	0.7090528367677398	0.9995692703162754	0.02885263795861588	false
ZK1248.7	0.6742134069299031	0.3313481121575773	0.9995692703162754	0.06680053924512702	false
M106.3a	N/A	N/A	N/A	N/A	false
ZK1248.6	0.8582169246527309	0.3310516675496257	0.9995692703162754	0.006422818317041345	false
Y105E8B.8a	N/A	N/A	N/A	N/A	false
ZK1248.4	0.8418604431496073	0.6278332680863034	0.9995692703162754	0.008768618810359386	false
W04G3.3	N/A	N/A	N/A	N/A	false
W04G3.2	0.7195767195767195	N/A	N/A	0.12499999999999992	false
ZK1248.1	N/A	N/A	N/A	N/A	false
D1086.8a	N/A	N/A	N/A	N/A	false
K07H8.3	0.68056171750003	N/A	N/A	N/A	false
K10C9.3	0.7244885146701135	0.5969614227347565	0.9995692703162754	0.06406349923092786	false
ZK1290.8	N/A	N/A	N/A	N/A	false
Y44E3A.6b	0.7095535466101403	0.5517613292776853	0.9995692703162754	0.04714272605350025	false
F10F2.3	N/A	N/A	N/A	N/A	false
R04D3.3	N/A	N/A	N/A	N/A	false
F10F2.2	0.730503911293385	8.273061575572467E-4	0.0	0.2566755158914368	true
C12D12.1c	0.6722579355112778	0.880222908278715	0.9995692703162754	0.11214098615285038	false
F10F2.1	N/A	N/A	N/A	N/A	false
C33E10.5	N/A	N/A	N/A	N/A	false
C39F7.4	0.8920462474873648	0.4502947489616649	0.9995692703162754	0.004662817815914524	false
R07B1.4	0.8941623883723812	0.9611037489151693	0.9995692703162754	0.04356435499179548	false
B0334.3b	0.8590005973950624	0.9988037672391803	0.9995692703162754	0.0880015044416764	false
B0334.3a	0.8579259333891619	0.9988037672391803	0.9995692703162754	0.08854738198187866	false
C09H10.6	N/A	N/A	N/A	N/A	false
C55B6.2	N/A	N/A	N/A	N/A	false
C09H10.3	0.9014466854312443	0.9809722155982185	0.9995692703162754	0.03247294647881511	false
C09H10.2	0.8673505872366348	0.9676185368013214	0.9995692703162754	0.05311920949196659	false
R74.4b	N/A	N/A	N/A	N/A	false
F53F4.13	0.8150843998480714	0.9938479142006059	0.9995692703162754	0.12155428652414228	false
K11H12.7	0.6604474923217644	N/A	N/A	0.09319387208327014	false
F32A5.4a	N/A	N/A	N/A	N/A	false
F53F4.11	N/A	N/A	N/A	N/A	false
Y110A7A.19	0.7878020040399383	0.5180652453654083	0.9995692703162754	0.02468489240762024	false
F53F4.10	0.8317497997386912	0.7845025757955362	0.9995692703162754	0.04397841326822421	false
Y110A7A.18	0.6679724989793255	0.6801227868828474	0.9995692703162754	0.05076296850512561	false
K11H12.2	0.9325267980292796	0.9896340327124091	0.9995692703162754	0.027575323466413258	false
Y110A7A.16	N/A	N/A	N/A	N/A	false
D1086.7	1.0	N/A	N/A	0.0	false
B0250.5	0.8956950198502068	0.9035919225412421	0.9995692703162754	0.02915651267654197	false
D1086.6	0.7718053274066953	0.8264801207557194	0.9995692703162754	0.05611286658229367	false
Y110A7A.14	0.7941115432407672	0.8861178735998937	0.9995692703162754	0.05172157879560576	false
Y110A7A.13	N/A	N/A	N/A	N/A	false
T12D8.10	0.6595809165172571	0.0037542278436717433	0.016328986098876307	0.2185167564233999	true
Y110A7A.12	0.9012970885834947	0.9953705243318152	0.9995692703162754	0.060770083439114	false
